Aar,NACE2007,SN2007,alder,ansatte
2014,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,16
2015,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,15
2016,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,15
2017,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,12
2018,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,9
2019,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,10
2020,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,12
2008,49-53,Transport og lagring,15-74 år,35
2009,49-53,Transport og lagring,15-74 år,27
2010,49-53,Transport og lagring,15-74 år,28
2011,49-53,Transport og lagring,15-74 år,21
2012,49-53,Transport og lagring,15-74 år,20
2013,49-53,Transport og lagring,15-74 år,24
2014,49-53,Transport og lagring,15-74 år,27
2015,49-53,Transport og lagring,15-74 år,26
2016,49-53,Transport og lagring,15-74 år,30
2017,49-53,Transport og lagring,15-74 år,32
2018,49-53,Transport og lagring,15-74 år,27
2019,49-53,Transport og lagring,15-74 år,33
2020,49-53,Transport og lagring,15-74 år,31
2008,55-56,Overnattings- og serveringsvirksomhet,15-74 år,9
2009,55-56,Overnattings- og serveringsvirksomhet,15-74 år,6
2010,55-56,Overnattings- og serveringsvirksomhet,15-74 år,0
2011,55-56,Overnattings- og serveringsvirksomhet,15-74 år,0
2012,55-56,Overnattings- og serveringsvirksomhet,15-74 år,3
2013,55-56,Overnattings- og serveringsvirksomhet,15-74 år,3
2014,55-56,Overnattings- og serveringsvirksomhet,15-74 år,0
2015,55-56,Overnattings- og serveringsvirksomhet,15-74 år,3
2016,55-56,Overnattings- og serveringsvirksomhet,15-74 år,3
2017,55-56,Overnattings- og serveringsvirksomhet,15-74 år,3
2018,55-56,Overnattings- og serveringsvirksomhet,15-74 år,3
2019,55-56,Overnattings- og serveringsvirksomhet,15-74 år,0
2020,55-56,Overnattings- og serveringsvirksomhet,15-74 år,0
2008,58-63,Informasjon og kommunikasjon,15-74 år,0
2009,58-63,Informasjon og kommunikasjon,15-74 år,0
2010,58-63,Informasjon og kommunikasjon,15-74 år,0
2011,58-63,Informasjon og kommunikasjon,15-74 år,0
2012,58-63,Informasjon og kommunikasjon,15-74 år,0
2013,58-63,Informasjon og kommunikasjon,15-74 år,0
2014,58-63,Informasjon og kommunikasjon,15-74 år,3
2015,58-63,Informasjon og kommunikasjon,15-74 år,3
2016,58-63,Informasjon og kommunikasjon,15-74 år,0
2017,58-63,Informasjon og kommunikasjon,15-74 år,0
2018,58-63,Informasjon og kommunikasjon,15-74 år,3
2019,58-63,Informasjon og kommunikasjon,15-74 år,3
2020,58-63,Informasjon og kommunikasjon,15-74 år,NA
2008,64-66,Finansiering og forsikring,15-74 år,0
2009,64-66,Finansiering og forsikring,15-74 år,0
2010,64-66,Finansiering og forsikring,15-74 år,0
2011,64-66,Finansiering og forsikring,15-74 år,0
2012,64-66,Finansiering og forsikring,15-74 år,0
2013,64-66,Finansiering og forsikring,15-74 år,0
2014,64-66,Finansiering og forsikring,15-74 år,0
2015,64-66,Finansiering og forsikring,15-74 år,0
2016,64-66,Finansiering og forsikring,15-74 år,0
2017,64-66,Finansiering og forsikring,15-74 år,0
2018,64-66,Finansiering og forsikring,15-74 år,0
2019,64-66,Finansiering og forsikring,15-74 år,0
2020,64-66,Finansiering og forsikring,15-74 år,0
2008,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,3
2009,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,3
2010,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,6
2011,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,3
2012,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,3
2013,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,0
2014,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,0
2015,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,0
2016,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,3
2017,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,3
2018,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,0
2019,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,0
2020,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,NA
2008,77-82,Forretningsmessig tjenesteyting,15-74 år,9
2009,77-82,Forretningsmessig tjenesteyting,15-74 år,6
2010,77-82,Forretningsmessig tjenesteyting,15-74 år,6
2011,77-82,Forretningsmessig tjenesteyting,15-74 år,3
2012,77-82,Forretningsmessig tjenesteyting,15-74 år,3
2013,77-82,Forretningsmessig tjenesteyting,15-74 år,6
2014,77-82,Forretningsmessig tjenesteyting,15-74 år,3
2015,77-82,Forretningsmessig tjenesteyting,15-74 år,9
2016,77-82,Forretningsmessig tjenesteyting,15-74 år,6
2017,77-82,Forretningsmessig tjenesteyting,15-74 år,6
2018,77-82,Forretningsmessig tjenesteyting,15-74 år,6
2019,77-82,Forretningsmessig tjenesteyting,15-74 år,3
2020,77-82,Forretningsmessig tjenesteyting,15-74 år,NA
2008,84,"Off.adm., forsvar, sosialforsikring",15-74 år,14
2009,84,"Off.adm., forsvar, sosialforsikring",15-74 år,15
2010,84,"Off.adm., forsvar, sosialforsikring",15-74 år,14
2011,84,"Off.adm., forsvar, sosialforsikring",15-74 år,21
2012,84,"Off.adm., forsvar, sosialforsikring",15-74 år,16
2013,84,"Off.adm., forsvar, sosialforsikring",15-74 år,18
