Knr,Kjonn,Alder,ContentsCode,Aar,Alle naeringer,"Jordbruk, skogbruk og fiske",Bergverksdrift og utvinning,Industri,"Elektrisitet, vann og renevasjon",Bygge- og anleggsvirksomhet,"Varehandel, reparasjon av motorvogner",Transport og lagring,Overnattings- og serveringsvriksomhet,Informasjon og kommunikasjon,Finansiering og forsikring ,"Teknisk tjenesteyting, eiendosmdrift",Forretningsmessig tjenesteyting,"Off.adm., forsvar, sosialforsikring",Undervisning,Helse- og sosialtjenester,Personlig tjenesteyting,Uoppgitt
1149,0,15-74,Sysselsatte,2020,20063,384,1437,2725,230,1803,2460,1313,541,334,119,750,824,701,1512,4259,561,110
1149,0,55-66,Sysselsatte,2008,3248,122,141,577,41,192,356,272,37,37,49,133,134,131,312,595,86,33
1149,0,55-66,Sysselsatte,2009,3253,114,125,543,47,202,358,282,45,35,46,148,131,125,320,611,89,32
1149,0,55-66,Sysselsatte,2010,3288,96,156,511,41,223,364,300,49,35,45,157,129,134,316,622,78,32
1149,0,55-66,Sysselsatte,2011,3345,98,183,505,43,234,359,284,46,36,47,160,145,138,311,645,83,28
1149,0,55-66,Sysselsatte,2012,3453,85,201,516,44,239,356,302,48,38,47,156,160,137,323,691,82,28
1149,0,55-66,Sysselsatte,2013,3530,90,213,499,44,252,375,315,48,42,46,169,143,147,309,714,90,34
1149,0,55-66,Sysselsatte,2014,3598,90,227,495,51,264,383,314,56,38,49,169,152,149,323,721,87,30
1149,0,55-66,Sysselsatte,2015,3491,90,222,460,51,260,359,312,47,32,48,160,148,160,304,692,91,55
1149,0,55-66,Sysselsatte,2016,3494,81,223,457,45,264,357,304,42,32,51,151,143,168,317,717,99,43
1149,0,55-66,Sysselsatte,2017,3504,84,236,467,46,255,358,314,47,36,40,153,159,160,298,713,94,44
1149,0,55-66,Sysselsatte,2018,3470,87,259,484,47,257,344,306,54,34,36,141,159,148,274,714,88,38
1149,0,55-66,Sysselsatte,2019,3593,94,273,508,46,267,366,327,54,36,31,146,160,153,272,736,89,35
1149,0,55-66,Sysselsatte,2020,3617,88,282,516,47,283,374,331,52,37,29,137,157,155,264,733,98,34
1149,0,67-74,Sysselsatte,2008,301,59,3,30,3,21,33,32,3,0,3,16,17,6,17,34,13,11
1149,0,67-74,Sysselsatte,2009,323,58,0,31,0,22,42,32,6,3,3,19,16,7,14,46,14,10
1149,0,67-74,Sysselsatte,2010,340,64,3,38,0,18,43,30,8,3,3,28,9,7,21,41,14,10
1149,0,67-74,Sysselsatte,2011,369,51,0,40,8,23,48,35,12,3,0,28,12,13,25,49,14,8
1149,0,67-74,Sysselsatte,2012,392,62,3,33,3,23,48,43,9,6,3,31,18,9,33,39,15,14
1149,0,67-74,Sysselsatte,2013,412,58,5,30,4,30,45,47,9,4,0,37,18,6,36,51,19,13
1149,0,67-74,Sysselsatte,2014,434,53,6,30,0,33,49,52,8,3,0,44,10,11,40,58,25,12
1149,0,67-74,Sysselsatte,2015,430,56,3,30,0,28,46,32,7,6,0,39,11,10,24,76,26,36
1149,0,67-74,Sysselsatte,2016,415,55,3,28,0,29,44,27,6,3,0,40,10,7,22,72,20,49
1149,0,67-74,Sysselsatte,2017,428,56,0,28,6,31,50,33,5,3,0,39,13,9,21,74,16,44
1149,0,67-74,Sysselsatte,2018,451,48,3,25,3,29,47,39,3,3,0,47,21,11,25,76,28,43
1149,0,67-74,Sysselsatte,2019,445,43,0,30,3,32,39,41,3,6,3,53,17,9,25,75,25,41
1149,0,67-74,Sysselsatte,2020,410,55,3,23,3,29,36,40,7,0,6,55,12,9,15,68,18,31
1151,0,15-74,Sysselsatte,2008,124,9,0,6,0,6,6,25,12,0,0,3,10,9,13,22,3,0
1151,0,15-74,Sysselsatte,2009,115,6,0,6,0,9,3,27,3,0,0,3,12,7,13,23,3,0
1151,0,15-74,Sysselsatte,2010,120,6,3,0,0,12,3,27,6,0,0,3,6,14,13,24,3,0
1151,0,15-74,Sysselsatte,2011,126,9,6,0,0,9,6,27,3,0,0,3,12,8,15,25,3,0
1151,0,15-74,Sysselsatte,2012,116,6,6,0,0,9,6,21,6,0,0,3,9,10,14,23,3,0
1151,0,15-74,Sysselsatte,2013,119,6,6,0,0,10,3,23,9,0,0,3,10,9,14,20,6,0
1151,0,15-74,Sysselsatte,2014,116,6,3,0,0,14,3,19,6,0,0,3,6,9,19,25,3,0
1151,0,15-74,Sysselsatte,2015,110,10,3,0,0,9,6,20,0,0,0,3,6,12,11,27,3,0
1151,0,15-74,Sysselsatte,2016,106,10,3,0,0,9,6,19,3,0,0,0,3,6,16,25,3,3
1151,0,15-74,Sysselsatte,2017,107,9,3,0,0,6,6,18,3,0,0,0,6,6,11,30,6,3
1151,0,15-74,Sysselsatte,2018,101,9,6,0,0,6,6,19,0,0,0,0,6,6,15,25,3,0
